label,redshift,score
GALAXY,0.4377665,1.5899053323664702e-05
GALAXY,0.4223129,3.4080974728567526e-05
STAR,0.2863806,0.999991774559021
GALAXY,0.1248921,1.000801148620667e-05
STAR,0.7127818,0.9999842643737793
GALAXY,0.2124445,6.056312486180104e-06
STAR,0.5189626,0.9996862411499023
GALAXY,0.4903709,7.012968126218766e-06
QSO,1.744077,4.1273582951362187e-07
GALAXY,0.3516645,4.21097684011329e-06
GALAXY,0.334149,1.2483536693252972e-06
GALAXY,0.6094603,6.511809260700829e-07
GALAXY,0.04783213,1.5929739447528846e-06
GALAXY,0.5675704,3.388640834600665e-05
GALAXY,-0.000161545,6.608263447560603e-07
GALAXY,0.04461844,1.935161890287418e-05
QSO,2.588602,1.904842406474927e-06
GALAXY,0.5025929,4.7981052375689615e-06
GALAXY,0.6048231,2.4662758733029477e-06
GALAXY,0.3999518,2.1532434857363114e-06
GALAXY,0.7164497,1.7138075918410323e-06
GALAXY,0.4096343,3.996107807324734e-06
GALAXY,0.6146919,2.2751760297978763e-06
GALAXY,2.381393,2.9118173188180663e-06
GALAXY,0.4984281,2.9033947157586226e-06
QSO,0.6042168,5.2645100367954e-06
STAR,0.04619972,0.9996966123580933
GALAXY,-0.0006188375,4.311228167352965e-06
GALAXY,0.5342168,3.7395229810499586e-06
QSO,0.07667349,5.188350041862577e-05
GALAXY,1.710049,2.568581066952902e-06
GALAXY,-6.544079e-05,3.2071857276605442e-06
GALAXY,-0.0003749935,4.155953138251789e-05
GALAXY,-0.0005068146,7.945079687488033e-07
GALAXY,0.0001282357,2.805707663355861e-05
QSO,0.3826593,6.23600044491468e-07
QSO,0.1057175,1.1634083421085961e-06
GALAXY,0.1667505,1.1947625353059266e-05
STAR,4.112228e-05,0.9990772008895874
GALAXY,0.4559354,3.5599859984358773e-06
GALAXY,1.439242,8.591179039285635e-07
QSO,0.5572682,0.00012072276877006516
QSO,0.8491436,2.0763540305779316e-05
GALAXY,0.0608357,1.328354414908972e-06
GALAXY,0.5577368,9.245538421964739e-06
STAR,0.6673406,0.9998553991317749
STAR,1.931627e-05,0.9999290704727173
STAR,0.06816256,0.9999781847000122
QSO,0.8423869,5.037137816543691e-05
GALAXY,4.452289e-05,2.362881241424475e-05
GALAXY,-0.0004538614,2.0079038222320378e-05
GALAXY,0.5021194,5.2502804464893416e-05
GALAXY,0.6195417,3.4653425245778635e-05
GALAXY,0.8110155,1.3927350437370478e-06
STAR,0.5383928,0.9999784231185913
GALAXY,0.0003926456,1.1591752127060317e-06
GALAXY,1.429102,1.5275750229193363e-06
GALAXY,0.5589139,1.1479542990855407e-05
GALAXY,0.0001377153,6.0025085986126214e-06
GALAXY,0.3987542,1.2291775419726036e-06
STAR,3.235533e-05,0.999969482421875
QSO,0.5322012,8.371174772037193e-06
GALAXY,1.718354,7.845173399800842e-07
GALAXY,0.1149709,2.271237644890789e-05
STAR,0.5748122,0.9999806880950928
GALAXY,0.3513632,2.3321813387156e-06
GALAXY,0.1289615,4.787855868926272e-05
GALAXY,0.48276,3.969737917941529e-06
GALAXY,0.695713,1.5601541235810146e-05
GALAXY,0.5628006,4.3518284655874595e-06
QSO,0.1425429,1.1384514436940663e-05
QSO,2.584657,9.805954732655664e-07
GALAXY,-3.720387e-05,7.447481493727537e-06
GALAXY,-0.0002193967,8.176598385034595e-06
GALAXY,1.435107,1.308380342379678e-05
QSO,0.09144761,3.632606876635691e-06
QSO,1.895176,6.8181775532139e-06
GALAXY,2.199445,2.3203940600069473e-06
GALAXY,0.5791271,3.271155583206564e-05
GALAXY,0.3674369,2.2243245894060237e-06
GALAXY,-0.0001347067,5.628540748148225e-06
GALAXY,0.4916832,3.8129373933770694e-06
QSO,0.3887123,1.3063310689176433e-05
GALAXY,0.3729691,3.6254877500141447e-07
GALAXY,1.510443,1.621301180421142e-06
GALAXY,-0.000441598,8.001268724910915e-05
GALAXY,0.4638304,1.6094187230919488e-05
GALAXY,0.3788579,5.2637674343714025e-06
QSO,0.0522996,1.842644678617944e-06
QSO,0.8264657,1.5123240700631868e-05
GALAXY,-0.0002690637,3.016183427462238e-06
GALAXY,0.3134766,2.1000109882152174e-06
GALAXY,-0.0009893134,1.772989344317466e-05
GALAXY,1.607116,9.509217306913342e-06
QSO,3.014968,5.010287168261129e-06
QSO,0.02369138,3.3497206459287554e-05
GALAXY,0.428405,0.00011290172551525757
GALAXY,1.602351,5.602468604593014e-07
GALAXY,0.5655211,1.1716386325133499e-05
GALAXY,0.5889474,1.010984033200657e-05
QSO,0.5169687,2.211053106293548e-05
STAR,0.3786111,0.9992119073867798
GALAXY,0.0001718958,9.001973012345843e-06
QSO,-0.0001182788,4.011142209492391e-06
GALAXY,0.1510833,1.4097914572630543e-05
STAR,0.5962469,0.9999445676803589
GALAXY,0.3687642,9.730495548865292e-06
GALAXY,0.3789211,2.4240593120339327e-05
STAR,0.8688784,0.999933123588562
GALAXY,0.5766351,1.2392785038173315e-06
GALAXY,0.4460406,2.2513404474011622e-06
GALAXY,9.445119e-05,1.087012492462236e-06
GALAXY,-0.000101265,9.506911169410159e-07
GALAXY,-0.0009577281,3.815727723122109e-06
STAR,0.1037509,0.9997531771659851
GALAXY,-0.0001020387,5.800130111310864e-06
STAR,1.632945,0.9999735355377197
GALAXY,0.1718801,5.614403107756516e-06
GALAXY,-0.0001494047,1.1266110959695652e-06
GALAXY,-0.0003421454,2.0719078293041093e-06
GALAXY,0.6047941,5.204526019042532e-07
GALAXY,0.4455169,3.0613057333539473e-06
GALAXY,0.0002310622,4.423197879077634e-06
QSO,-0.001009034,4.781718416779768e-07
GALAXY,0.9450653,7.575779818580486e-06
QSO,1.713515,5.500964562088484e-06
GALAXY,0.07349299,2.039095761574572e-06
GALAXY,0.2677267,7.138895398384193e-06
GALAXY,0.3575744,3.75221247850277e-06
GALAXY,0.5206707,2.5598656065994874e-06
QSO,1.231995,6.684793447675474e-07
GALAXY,0.1183185,7.0025521381467115e-06
GALAXY,0.2772469,1.6012409105314873e-05
STAR,0.3415002,0.9998144507408142
GALAXY,-0.0005380248,9.025819053931627e-06
GALAXY,0.2193889,1.8878081391449086e-06
STAR,0.7267798,0.9999898672103882
GALAXY,0.750885,8.74033594300272e-06
STAR,0.1007659,0.9998237490653992
GALAXY,0.06192883,5.23554376741231e-07
QSO,0.5878433,2.655924799910281e-05
QSO,0.5303035,1.2408541806507856e-05
QSO,1.011139,6.259082147153094e-05
GALAXY,0.5475634,9.828142538026441e-06
GALAXY,-5.700218e-06,7.205790552688995e-06
GALAXY,0.08571848,1.0629059943312313e-05
GALAXY,0.6045955,4.026221176900435e-06
GALAXY,0.05937581,0.0001975604536710307
GALAXY,0.462327,7.229111361084506e-05
QSO,0.000243893,7.223045940918382e-06
STAR,2.710182,0.9801592826843262
STAR,-3.073889e-05,0.9997664093971252
GALAXY,0.1450102,8.29681539471494e-06
GALAXY,1.485314,1.5348487067967653e-05
GALAXY,2.463661,5.303496891428949e-06
GALAXY,-1.280331e-05,1.0454114089952782e-06
STAR,0.0009532445,0.9999284744262695
QSO,0.2602517,7.526602530560922e-06
STAR,0.05355626,0.9998254179954529
QSO,-3.243686e-05,0.00019178538059350103
STAR,0.5566073,0.9991868138313293
GALAXY,0.05625342,7.67877463658806e-06
GALAXY,0.40664,5.096788754599402e-06
GALAXY,0.5304217,7.510728892157204e-07
GALAXY,-0.0004629187,1.6143110315169906e-06
STAR,1.793604,0.9999396800994873
QSO,2.675924,9.975874490919523e-07
GALAXY,0.7516758,2.7341679924575146e-06
GALAXY,-0.0004843995,1.4329558553072275e-06
QSO,0.04261801,5.978982699161861e-06
QSO,2.890491e-05,2.5174351776513504e-06
GALAXY,0.0331632,6.661921815975802e-06
STAR,0.3613059,0.9997124075889587
QSO,2.115014,7.523025828959362e-07
QSO,-3.189349e-05,3.3017295208992437e-05
GALAXY,3.956955e-05,1.3952834478914156e-06
QSO,4.92337,7.926301623228937e-05
STAR,9.203657e-06,0.9992652535438538
GALAXY,0.1555514,5.395363132265629e-06
GALAXY,2.162262,7.360686595347943e-06
GALAXY,-2.400361e-05,7.917514608379861e-07
STAR,0.977366,0.9999724626541138
QSO,3.002199,4.929564170197409e-07
GALAXY,0.6327446,4.347250796854496e-05
GALAXY,-3.179948e-05,5.192804565012921e-06
GALAXY,0.5284746,4.390735284687253e-06
GALAXY,0.8148205,1.340690005235956e-06
GALAXY,0.6982115,2.5824812837527134e-05
STAR,1.44443,0.9999005794525146
GALAXY,0.3596723,3.5629952890303684e-06
QSO,0.7772645,1.3048772416368593e-05
GALAXY,0.5747162,8.162285212165443e-07
GALAXY,8.431629e-05,1.971057463379111e-05
STAR,5.602571,0.9998619556427002
GALAXY,0.3710628,3.7250385958031984e-06
GALAXY,0.5301862,2.419931888653082e-06
QSO,1.660968,2.8305300929787336e-06
STAR,-0.0001256303,0.999863862991333
QSO,0.4808047,1.6630698155495338e-05
GALAXY,0.08137081,5.9444791986607015e-05
GALAXY,0.2117344,9.071230238077987e-07
GALAXY,0.5623608,8.575972060498316e-06
GALAXY,0.1666424,8.678560334374197e-06
GALAXY,1.38525,1.910689206852112e-05
GALAXY,0.5051505,8.701194019522518e-06
GALAXY,0.02811696,2.0390576537465677e-05
GALAXY,0.998971,1.2004434211121406e-06
GALAXY,-0.0003191606,2.5368794922542293e-06
GALAXY,0.5600009,8.286429533654882e-07
GALAXY,0.1776438,2.217713335994631e-05
QSO,-6.430224e-05,8.176690471373149e-07
GALAXY,0.330447,7.509181887144223e-05
GALAXY,0.0004016136,1.7931510228663683e-05
STAR,0.04834459,0.9999688863754272
QSO,1.648416,1.424371021130355e-06
GALAXY,-0.0002574516,8.234056622313801e-06
GALAXY,0.3642389,3.102237997154589e-06
QSO,0.538027,1.164495279226685e-05
GALAXY,-0.0005610557,1.378501679027977e-06
QSO,0.659975,6.735447186656529e-06
STAR,1.424339,0.9999823570251465
GALAXY,1.201372e-06,2.115059942298103e-06
GALAXY,0.0001879562,3.547000460457639e-06
GALAXY,0.4158885,2.861998609660077e-06
GALAXY,1.564931,4.531176728050923e-06
STAR,-0.0002348509,0.9996554851531982
GALAXY,0.4676983,1.7592959693502053e-06
STAR,1.010906,0.9999445676803589
GALAXY,0.2067788,1.4165917491482105e-05
GALAXY,0.3257461,9.73052465269575e-07
GALAXY,0.4283264,1.5521611658186885e-06
STAR,0.6236145,0.9997244477272034
GALAXY,0.1410118,6.637408660026267e-06
GALAXY,0.1046667,2.603682560220477e-06
STAR,9.074312e-05,0.9999810457229614
GALAXY,0.6999152,4.081450697412947e-06
QSO,0.3659503,3.567541716620326e-05
GALAXY,0.4861198,2.412578851362923e-06
GALAXY,0.1200129,6.580120839316805e-07
STAR,0.2880669,0.9999583959579468
GALAXY,1.164902,2.2092861399869435e-05
GALAXY,2.166912,1.5289580233002198e-06
STAR,1.310346,0.9999855756759644
QSO,-0.0005337507,6.167862920847256e-06
GALAXY,-0.0001699868,2.7928026611334644e-06
QSO,0.3731053,1.2141111938035465e-06
QSO,0.3650695,1.0567554227236542e-06
GALAXY,-3.354441e-05,1.2721536222670693e-05
STAR,0.1115879,0.9998581409454346
GALAXY,0.4530484,1.2654711099457927e-05
GALAXY,2.707235,2.069295987894293e-06
STAR,0.5095084,0.9999805688858032
QSO,1.478896,6.460827989940299e-06
STAR,-0.0004083598,0.9999043941497803
STAR,0.6343952,0.9990830421447754
QSO,0.08781306,5.926011681367527e-07
STAR,0.5039026,0.9999443292617798
GALAXY,-0.001111819,4.810251084563788e-06
GALAXY,0.7284427,6.336855221888982e-06
GALAXY,0.5510112,6.826807748439023e-06
QSO,1.725891,2.223526053057867e-06
QSO,0.1125758,1.8508936818761867e-06
QSO,-0.0001153395,2.0420702639967203e-06
GALAXY,0.3541761,7.131504389690235e-06
GALAXY,0.3875248,1.4565556512025069e-06
GALAXY,0.05978063,6.84916230966337e-05
STAR,-0.0003169941,0.9998824596405029
GALAXY,0.6565168,3.106064468738623e-06
GALAXY,0.9902285,1.3576780474977568e-05
GALAXY,0.183484,4.0010668271861505e-06
QSO,3.356509,1.4731270994161605e-06
GALAXY,1.214512,4.821949914912693e-07
STAR,5.229928e-05,0.9995617270469666
GALAXY,0.5319369,4.9117838898382615e-06
STAR,0.1033353,0.9999676942825317
STAR,0.09843078,0.9995893836021423
QSO,2.193663,4.90593993163202e-06
GALAXY,0.07512396,5.823835635965224e-06
QSO,0.5291386,2.0533801944111474e-05
STAR,0.2489492,0.9998175501823425
GALAXY,-0.0001699191,1.243350652657682e-06
STAR,-2.523254e-05,0.9999594688415527
QSO,-1.519651e-05,9.670721965449047e-07
GALAXY,0.0003410979,3.957472290494479e-05
STAR,0.1309023,0.9997929930686951
STAR,0.04698097,0.9999524354934692
GALAXY,-0.0005228139,3.7954948766127927e-06
GALAXY,1.35573,8.536298992112279e-06
GALAXY,1.179973,2.0967900127288885e-06
GALAXY,0.118662,1.7132197172031738e-06
QSO,-9.643016e-05,0.00020663383475039154
GALAXY,-0.0002499964,9.055590453499462e-06
GALAXY,-0.0005694753,5.325537495082244e-05
GALAXY,0.5500292,1.4847172451482038e-06
GALAXY,0.5661265,1.915547181852162e-05
STAR,0.3619259,0.9999690055847168
GALAXY,0.6025506,8.260640242951922e-07
STAR,0.2573367,0.99996018409729
GALAXY,0.8032588,2.041807874775259e-06
QSO,-0.0002302317,2.2574078684556298e-05
GALAXY,0.1675598,3.978019776695874e-06
GALAXY,-6.951678e-05,2.971244975924492e-05
QSO,0.0005161044,3.0022274586372077e-06
GALAXY,0.4649386,1.9723420336958952e-05
GALAXY,0.8350013,3.4238139505760046e-06
STAR,0.4325134,0.9996358156204224
QSO,0.461536,4.250936854077736e-06
GALAXY,0.08568373,1.2218409892739146e-06
QSO,0.5991076,8.954919508141757e-07
GALAXY,0.8311257,2.454441300869803e-06
GALAXY,0.5730528,6.108767411205918e-05
GALAXY,0.1759624,1.0141452548850793e-05
GALAXY,0.6181889,1.4687132079416187e-06
QSO,1.214563,2.1916568584856577e-05
STAR,-0.0003117058,0.9999529123306274
GALAXY,1.705927,1.9996567061753012e-05
GALAXY,1.188786e-05,3.7940906167932553e-06
QSO,3.181657,2.9503148653020617e-06
GALAXY,2.175832,1.3076153663860168e-05
GALAXY,0.5829693,1.6557181652387953e-06
STAR,0.1183311,0.9999548196792603
GALAXY,0.5528701,0.0026526793371886015
GALAXY,2.196043,3.2595806260360405e-05
GALAXY,0.5910399,7.289013410627376e-07
GALAXY,0.1766012,5.340101779438555e-06
STAR,0.4844764,0.9999502897262573
GALAXY,0.3194551,5.778099421149818e-06
GALAXY,0.08201469,6.9483921834034845e-06
GALAXY,0.03831033,0.0013394166016951203
GALAXY,-0.0007756578,1.2134009921282995e-05
GALAXY,0.5678217,1.0503458724997472e-06
GALAXY,7.211132e-05,9.131767910730559e-07
STAR,0.7033651,0.9998860359191895
STAR,0.1400666,0.9991793036460876
GALAXY,-0.000126653,5.785818211734295e-05
STAR,0.3130521,0.9999830722808838
QSO,1.269418,9.572676162861171e-07
GALAXY,0.06108456,3.2737959827500163e-06
GALAXY,0.5697992,1.2033925486321095e-05
STAR,2.17237,0.9997357726097107
GALAXY,0.3198636,3.2534160254726885e-06
GALAXY,-0.0003053945,1.3615036777991918e-06
GALAXY,2.233358,2.4371398467337713e-05
GALAXY,0.3021886,4.933223408443155e-06
STAR,1.306576,0.9989321827888489
QSO,7.362021e-05,3.5712723729375284e-06
GALAXY,0.04034506,2.2133655875222757e-05
QSO,0.7139886,7.651635314687155e-06
STAR,0.7224286,0.9999053478240967
GALAXY,0.5707986,1.9141563825542107e-05
GALAXY,0.1869721,1.747422902553808e-05
STAR,0.7386897,0.9999861717224121
GALAXY,-0.0003261528,6.310270691756159e-05
QSO,4.246246e-06,5.371699671741226e-07
STAR,0.2767745,0.9989702701568604
GALAXY,0.7656773,1.6200032177948742e-06
STAR,-0.0003278411,0.9999247789382935
QSO,0.2956225,1.3135211247572443e-06
GALAXY,2.522448e-06,1.0526977348490618e-05
STAR,-9.091981e-05,0.999626636505127
GALAXY,-7.299794e-05,0.00017632063827477396
STAR,0.1469584,0.9999717473983765
GALAXY,0.8015452,5.957773510090192e-07
GALAXY,0.7790434,7.966585144458804e-06
GALAXY,0.5572801,9.114974091062322e-07
GALAXY,0.4571443,3.265372652094811e-05
QSO,-0.0003296479,2.768536432995461e-06
STAR,0.5085104,0.9993089437484741
GALAXY,0.5346777,2.0258125914551783e-06
STAR,2.110008,0.9997404217720032
GALAXY,0.5668166,4.621386779035674e-06
GALAXY,0.05509663,1.0594444574962836e-05
STAR,-0.0006512087,0.9999921321868896
GALAXY,0.6383691,3.475760649962467e-06
GALAXY,0.177737,7.751865496175014e-07
STAR,0.389496,0.9998394250869751
QSO,0.6354023,2.9830907806172036e-05
GALAXY,0.04689191,3.3837950468296185e-06
QSO,0.8445871,1.3438258292808314e-06
GALAXY,-1.848955e-05,2.429856294838828e-06
GALAXY,0.604884,7.990392987267114e-06
GALAXY,0.6124928,1.3960423530079424e-05
QSO,-6.2212e-05,2.0769198272319045e-06
STAR,-0.0005129158,0.9999370574951172
STAR,0.5453368,0.9999884366989136
QSO,7.287287e-05,1.3093643929096288e-06
GALAXY,-0.0009813929,1.9442417396930978e-05
GALAXY,0.5344245,7.505449275413412e-07
GALAXY,-2.127449e-05,1.7253414625884034e-06
GALAXY,0.05672755,5.351869549485855e-05
QSO,0.6697416,8.19557135400828e-06
STAR,-0.000428782,0.9999384880065918
GALAXY,0.4450577,5.35403205503826e-06
GALAXY,0.05550113,4.772399279318051e-06
GALAXY,3.364027,9.950786079571117e-06
GALAXY,0.8099743,8.250654900621157e-06
GALAXY,1.538235,3.584837259040796e-06
GALAXY,0.6567671,8.154397619364318e-06
GALAXY,0.3936553,2.6316511139157228e-05
STAR,2.743477,0.998666524887085
QSO,1.984084,4.049312337883748e-05
GALAXY,0.5045762,1.009743414215336e-06
GALAXY,0.4558817,1.933827661559917e-05
GALAXY,0.2119157,8.559082971260068e-07
STAR,-0.000793941,0.9999537467956543
STAR,0.5258256,0.999686598777771
QSO,0.7548181,1.6103999769256916e-06
STAR,-0.0001496793,0.9993185997009277
GALAXY,6.99665,3.137226485705469e-06
QSO,0.1718481,4.807548066310119e-06
GALAXY,0.8556661,1.564847661938984e-05
STAR,-0.0002776819,0.9999643564224243
GALAXY,0.5062982,5.147470801603049e-06
QSO,-9.712014e-05,1.1765051567635965e-05
STAR,1.666511,0.99992835521698
GALAXY,0.1152452,6.7959135776618496e-06
GALAXY,0.000551248,1.1754503248084802e-05
GALAXY,2.439103,9.237687663699035e-06
STAR,0.0006352525,0.9998483657836914
GALAXY,0.7127345,1.6529374988749623e-06
GALAXY,-1.371795e-05,2.7105179469799623e-06
QSO,0.0006492279,1.0479317325007287e-06
STAR,2.026386,0.9999761581420898
STAR,4.720796,0.9999008178710938
GALAXY,0.403873,3.0189426070137415e-06
GALAXY,1.009641,4.894293965662655e-07
GALAXY,0.002863186,8.277008305412892e-07
QSO,0.5345333,4.160088792559691e-06
GALAXY,3.711706,1.2733219136862317e-06
QSO,0.7574648,8.287804575957125e-07
QSO,0.4185616,2.625876959427842e-06
QSO,0.0914863,3.3126059406640707e-06
GALAXY,0.9755172,3.5550833672459703e-06
GALAXY,0.4679218,5.116859756526537e-05
STAR,0.1492853,0.9999618530273438
GALAXY,1.438757,1.3197465023040422e-06
QSO,0.1183525,5.268122436064004e-07
GALAXY,0.5181504,2.399067170699709e-06
STAR,0.4356485,0.999491810798645
GALAXY,0.1531793,9.585439329384826e-06
QSO,0.0551569,1.2305184100114275e-05
GALAXY,0.04124043,9.006587333715288e-07
STAR,0.07455731,0.9967710375785828
GALAXY,1.00037,2.3821889044484124e-05
QSO,1.958993,3.6117689887760207e-06
STAR,0.1897009,0.9996798038482666
GALAXY,0.0001079274,1.3465499932863167e-06
STAR,0.0003026552,0.9990087151527405
QSO,8.01549e-07,4.33966051787138e-05
GALAXY,0.02607133,6.149221917439718e-06
GALAXY,0.3779942,5.1823312787746545e-06
GALAXY,1.387801,5.866529136255849e-06
GALAXY,2.428957,1.7426209524273872e-05
GALAXY,-0.0001539814,3.27123302668042e-06
STAR,0.0002996016,0.9999126195907593
QSO,-6.668014e-05,7.97276443336159e-05
STAR,1.429335,0.9999502897262573
GALAXY,0.4587813,9.115085504163289e-07
GALAXY,2.099016,3.797580802711309e-06
STAR,0.0001400961,0.9999781847000122
